"Tabela 1849 - Dados gerais das unidades locais industriais de empresas industriais com 5 ou mais pessoas ocupadas, por Unidade da Federação, segundo as divisões de atividades (CNAE 2.0)"
"Variável - Número de unidades locais"
"Nível","Cód.","Unidade da Federação","Ano","Classificação Nacional de Atividades Econômicas (CNAE 2.0)",""
"UF","13","Amazonas","2014","B Indústrias extrativas","29","Unidades"
"UF","13","Amazonas","2014","C Indústrias de transformação","1219","Unidades"
"UF","13","Amazonas","2014","10 Fabricação de produtos alimentícios","190","Unidades"
"UF","13","Amazonas","2014","20 Fabricação de produtos químicos","41","Unidades"
"UF","13","Amazonas","2014","24 Metalurgia","16","Unidades"
"UF","13","Amazonas","2014","29 Fabricação de veículos automotores, reboques e carrocerias","22","Unidades"
"UF","13","Amazonas","2015","Total","1194","Unidades"
"UF","13","Amazonas","2015","B Indústrias extrativas","21","Unidades"
"UF","13","Amazonas","2015","C Indústrias de transformação","1173","Unidades"
"UF","13","Amazonas","2015","10 Fabricação de produtos alimentícios","215","Unidades"
"UF","13","Amazonas","2015","20 Fabricação de produtos químicos","41","Unidades"
"UF","13","Amazonas","2015","24 Metalurgia","20","Unidades"
"UF","13","Amazonas","2015","29 Fabricação de veículos automotores, reboques e carrocerias","23","Unidades"
"UF","13","Amazonas","2016","Total","1156","Unidades"
"UF","13","Amazonas","2016","B Indústrias extrativas","14","Unidades"
"UF","13","Amazonas","2016","C Indústrias de transformação","1142","Unidades"
"UF","13","Amazonas","2016","10 Fabricação de produtos alimentícios","214","Unidades"
"UF","13","Amazonas","2016","20 Fabricação de produtos químicos","36","Unidades"
"UF","13","Amazonas","2016","24 Metalurgia","13","Unidades"
"UF","13","Amazonas","2016","29 Fabricação de veículos automotores, reboques e carrocerias","30","Unidades"
"UF","13","Amazonas","2017","Total","1112","Unidades"
"UF","13","Amazonas","2017","B Indústrias extrativas","13","Unidades"
"UF","13","Amazonas","2017","C Indústrias de transformação","1099","Unidades"
"UF","13","Amazonas","2017","10 Fabricação de produtos alimentícios","188","Unidades"
"UF","13","Amazonas","2017","20 Fabricação de produtos químicos","36","Unidades"
"UF","13","Amazonas","2017","24 Metalurgia","15","Unidades"
"UF","13","Amazonas","2017","29 Fabricação de veículos automotores, reboques e carrocerias","27","Unidades"
"UF","13","Amazonas","2018","Total","1083","Unidades"
"UF","13","Amazonas","2018","B Indústrias extrativas","14","Unidades"
"UF","13","Amazonas","2018","C Indústrias de transformação","1069","Unidades"
"UF","13","Amazonas","2018","10 Fabricação de produtos alimentícios","188","Unidades"
"UF","13","Amazonas","2018","20 Fabricação de produtos químicos","35","Unidades"
"UF","13","Amazonas","2018","24 Metalurgia","14","Unidades"
"UF","13","Amazonas","2018","29 Fabricação de veículos automotores, reboques e carrocerias","22","Unidades"
"UF","13","Amazonas","2019","Total","1008","Unidades"
"UF","13","Amazonas","2019","B Indústrias extrativas","14","Unidades"
"UF","13","Amazonas","2019","C Indústrias de transformação","994","Unidades"
"UF","13","Amazonas","2019","10 Fabricação de produtos alimentícios","192","Unidades"
"UF","13","Amazonas","2019","20 Fabricação de produtos químicos","30","Unidades"
"UF","13","Amazonas","2019","24 Metalurgia","13","Unidades"
"UF","13","Amazonas","2019","29 Fabricação de veículos automotores, reboques e carrocerias","24","Unidades"
"UF","13","Amazonas","2020","Total","1028","Unidades"
"UF","13","Amazonas","2020","B Indústrias extrativas","14","Unidades"
"UF","13","Amazonas","2020","C Indústrias de transformação","1014","Unidades"
"UF","13","Amazonas","2020","10 Fabricação de produtos alimentícios","171","Unidades"
"UF","13","Amazonas","2020","20 Fabricação de produtos químicos","40","Unidades"
"UF","13","Amazonas","2020","24 Metalurgia","17","Unidades"
"UF","13","Amazonas","2020","29 Fabricação de veículos automotores, reboques e carrocerias","27","Unidades"
"UF","13","Amazonas","2021","Total","1102","Unidades"
"UF","13","Amazonas","2021","B Indústrias extrativas","14","Unidades"
"UF","13","Amazonas","2021","C Indústrias de transformação","1088","Unidades"
"UF","13","Amazonas","2021","10 Fabricação de produtos alimentícios","180","Unidades"
"UF","13","Amazonas","2021","20 Fabricação de produtos químicos","45","Unidades"
"UF","13","Amazonas","2021","24 Metalurgia","14","Unidades"
"UF","13","Amazonas","2021","29 Fabricação de veículos automotores, reboques e carrocerias","26","Unidades"
"UF","13","Amazonas","2022","Total","1104","Unidades"
"UF","13","Amazonas","2022","B Indústrias extrativas","16","Unidades"
