UF,Cód_IBGE,Ano,Setor,Valor,Variável
Amazonas,13,2019,20 Fabricação de produtos químicos,30.0,Número de unidades locais
Amazonas,13,2019,24 Metalurgia,13.0,Número de unidades locais
Amazonas,13,2019,"29 Fabricação de veículos automotores, reboques e carrocerias",24.0,Número de unidades locais
Amazonas,13,2020,Total,1028.0,Número de unidades locais
Amazonas,13,2020,B Indústrias extrativas,14.0,Número de unidades locais
Amazonas,13,2020,C Indústrias de transformação,1014.0,Número de unidades locais
Amazonas,13,2020,10 Fabricação de produtos alimentícios,171.0,Número de unidades locais
Amazonas,13,2020,20 Fabricação de produtos químicos,40.0,Número de unidades locais
Amazonas,13,2020,24 Metalurgia,17.0,Número de unidades locais
Amazonas,13,2020,"29 Fabricação de veículos automotores, reboques e carrocerias",27.0,Número de unidades locais
Amazonas,13,2021,Total,1102.0,Número de unidades locais
Amazonas,13,2021,B Indústrias extrativas,14.0,Número de unidades locais
Amazonas,13,2021,C Indústrias de transformação,1088.0,Número de unidades locais
Amazonas,13,2021,10 Fabricação de produtos alimentícios,180.0,Número de unidades locais
Amazonas,13,2021,20 Fabricação de produtos químicos,45.0,Número de unidades locais
Amazonas,13,2021,24 Metalurgia,14.0,Número de unidades locais
Amazonas,13,2021,"29 Fabricação de veículos automotores, reboques e carrocerias",26.0,Número de unidades locais
Amazonas,13,2022,Total,1104.0,Número de unidades locais
Amazonas,13,2022,B Indústrias extrativas,16.0,Número de unidades locais
Amazonas,13,2022,C Indústrias de transformação,1088.0,Número de unidades locais
Amazonas,13,2022,10 Fabricação de produtos alimentícios,196.0,Número de unidades locais
Amazonas,13,2022,20 Fabricação de produtos químicos,47.0,Número de unidades locais
Amazonas,13,2022,24 Metalurgia,18.0,Número de unidades locais
Amazonas,13,2022,"29 Fabricação de veículos automotores, reboques e carrocerias",23.0,Número de unidades locais
Amazonas,13,2023,Total,1239.0,Número de unidades locais
Amazonas,13,2023,B Indústrias extrativas,16.0,Número de unidades locais
Amazonas,13,2023,C Indústrias de transformação,1223.0,Número de unidades locais
Amazonas,13,2023,10 Fabricação de produtos alimentícios,242.0,Número de unidades locais
Amazonas,13,2023,20 Fabricação de produtos químicos,55.0,Número de unidades locais
Amazonas,13,2023,24 Metalurgia,20.0,Número de unidades locais
Amazonas,13,2023,"29 Fabricação de veículos automotores, reboques e carrocerias",27.0,Número de unidades locais
Roraima,14,2007,Total,88.0,Número de unidades locais
Roraima,14,2007,B Indústrias extrativas,2.0,Número de unidades locais
Roraima,14,2007,C Indústrias de transformação,86.0,Número de unidades locais
Roraima,14,2007,10 Fabricação de produtos alimentícios,30.0,Número de unidades locais
Roraima,14,2007,20 Fabricação de produtos químicos,1.0,Número de unidades locais
Roraima,14,2007,24 Metalurgia,,Número de unidades locais
Roraima,14,2007,"29 Fabricação de veículos automotores, reboques e carrocerias",1.0,Número de unidades locais
Roraima,14,2008,Total,97.0,Número de unidades locais
Roraima,14,2008,B Indústrias extrativas,3.0,Número de unidades locais
Roraima,14,2008,C Indústrias de transformação,94.0,Número de unidades locais
Roraima,14,2008,10 Fabricação de produtos alimentícios,35.0,Número de unidades locais
Roraima,14,2008,20 Fabricação de produtos químicos,1.0,Número de unidades locais
Roraima,14,2008,24 Metalurgia,,Número de unidades locais
Roraima,14,2008,"29 Fabricação de veículos automotores, reboques e carrocerias",,Número de unidades locais
Roraima,14,2009,Total,103.0,Número de unidades locais
Roraima,14,2009,B Indústrias extrativas,3.0,Número de unidades locais
Roraima,14,2009,C Indústrias de transformação,100.0,Número de unidades locais
Roraima,14,2009,10 Fabricação de produtos alimentícios,37.0,Número de unidades locais
Roraima,14,2009,20 Fabricação de produtos químicos,1.0,Número de unidades locais
Roraima,14,2009,24 Metalurgia,,Número de unidades locais
Roraima,14,2009,"29 Fabricação de veículos automotores, reboques e carrocerias",,Número de unidades locais
Roraima,14,2010,Total,90.0,Número de unidades locais
